pt_col1,pt_col2
Fowler's syndrome,Fowler's syndrome
Thrombocytopenia-absent radius syndrome,Thrombocytopenia-absent radius syndrome
Retroperitoneal mass,Retroperitoneal mass
Tracheal radiation injury,Tracheal radiation injury
Pharynx radiation injury,Pharynx radiation injury
Pre-engraftment immune reaction,Pre-engraftment immune reaction
Poncet's disease,Poncet's disease
Device function test,Device function test
Cerebral cavernous malformation,Cerebral cavernous malformation
Milk soy protein intolerance,Milk soy protein intolerance
Blau syndrome,Blau syndrome
Annular pancreas,Annular pancreas
Male genital tract fistula,Male genital tract fistula
Muscle oedema,Muscle oedema
Trisomy 14,Trisomy 14
Viral myelitis,Viral myelitis
Noninfectious myelitis,Noninfectious myelitis
Neck plastic surgery,Neck plastic surgery
Neck lift,Neck lift
Hermansky-Pudlak syndrome,Hermansky-Pudlak syndrome
Phyllodes tumour,Phyllodes tumour
Neurone-specific enolase,Neurone-specific enolase
Neurone-specific enolase decreased,Neurone-specific enolase decreased
Neurone-specific enolase increased,Neurone-specific enolase increased
Radial nerve compression,Radial nerve compression
Intraocular haematoma,Intraocular haematoma
Subretinal haematoma,Subretinal haematoma
Vitreous haematoma,Vitreous haematoma
Dialysis related complication,Dialysis related complication
K-ras status assay,K-ras status assay
N-ras status assay,N-ras status assay
H-ras status assay,H-ras status assay
EGFR status assay,EGFR status assay
C-kit gene status assay,C-kit gene status assay
CYP2D6 gene status assay,CYP2D6 gene status assay
NAT2 gene status assay,NAT2 gene status assay
HERG gene status assay,HERG gene status assay
HLA-B gene status assay,HLA-B gene status assay
BCL-2 gene status assay,BCL-2 gene status assay
BRCA1 gene mutation assay,BRCA1 gene mutation assay
Carbonic anhydrase gene mutation assay,Carbonic anhydrase gene mutation assay
CYP2C19 gene status assay,CYP2C19 gene status assay
PTEN gene mutation assay,PTEN gene mutation assay
RET gene mutation assay,RET gene mutation assay
UGT1A1 gene mutation assay,UGT1A1 gene mutation assay
Tyrosine kinase mutation assay,Tyrosine kinase mutation assay
BRCA2 gene mutation assay,BRCA2 gene mutation assay
H-ras gene mutation,H-ras gene mutation
N-ras gene mutation,N-ras gene mutation
C-kit gene mutation,C-kit gene mutation
C-kit gene overexpression,C-kit gene overexpression
EGFR gene mutation,EGFR gene mutation
HERG gene mutation,HERG gene mutation
Anaplastic lymphoma kinase gene mutation,Anaplastic lymphoma kinase gene mutation
Anaplastic lymphoma kinase gene and nucleophosmin gene fusion overexpression,Anaplastic lymphoma kinase gene and nucleophosmin gene fusion overexpression
Androgen receptor gene overexpression,Androgen receptor gene overexpression
BRCA1 gene mutation,BRCA1 gene mutation
BRCA2 gene mutation,BRCA2 gene mutation
Carbonic anhydrase gene mutation,Carbonic anhydrase gene mutation
Oestrogen receptor gene overexpression,Oestrogen receptor gene overexpression
Platelet-derived growth factor receptor overexpression,Platelet-derived growth factor receptor overexpression
Progesterone receptor gene overexpression,Progesterone receptor gene overexpression
PTEN gene mutation,PTEN gene mutation
RET gene mutation,RET gene mutation
UGT1A1 gene mutation,UGT1A1 gene mutation
Vascular endothelial growth factor overexpression,Vascular endothelial growth factor overexpression
Tyrosine kinase mutation,Tyrosine kinase mutation
Transmembrane receptor tyrosine kinase overexpression,Transmembrane receptor tyrosine kinase overexpression
EGFR gene overexpression,EGFR gene overexpression
Hypercalcitoninaemia,Hypercalcitoninaemia
Spinal pain,Spinal pain
Male genital atrophy,Male genital atrophy
Frenulum breve,Frenulum breve
Hyper IgD syndrome,Hyper IgD syndrome
Palatal palsy,Palatal palsy
Radiation mastitis,Radiation mastitis
Radiofrequency ablation of oesophagus,Radiofrequency ablation of oesophagus
Renal malposition,Renal malposition
Pyospermia,Pyospermia
Enzyme activity increased,Enzyme activity increased
Enzyme activity normal,Enzyme activity normal
Enzyme activity abnormal,Enzyme activity abnormal
Benign mesenteric neoplasm,Benign mesenteric neoplasm
Mesenteric neoplasm,Mesenteric neoplasm
Congenital melanocytic naevus,Congenital melanocytic naevus
Small size placenta,Small size placenta
Benign nipple neoplasm,Benign nipple neoplasm
Epidural injection,Epidural injection
Parinaud syndrome,Parinaud syndrome
Central nervous system haemorrhage,Central nervous system haemorrhage
Biloma rupture,Biloma rupture
Radiation alopecia,Radiation alopecia
Topical cardiac cooling,Topical cardiac cooling
Plaque shift,Plaque shift
Botryomycosis,Botryomycosis
Perinephritis,Perinephritis
Ovarian vein thrombosis,Ovarian vein thrombosis
Prenatal screening test,Prenatal screening test
Exposure to lead,Exposure to lead
Exposure to body fluid,Exposure to body fluid
Management of reproduction,Management of reproduction
Artificial heart implant,Artificial heart implant
Artificial skin graft,Artificial skin graft
Stem cell donor,Stem cell donor
Bone marrow donor,Bone marrow donor
Oocyte donor,Oocyte donor
Medical counselling,Medical counselling
Behavioural insomnia of childhood,Behavioural insomnia of childhood
Body mass index normal,Body mass index normal
Gerstmann Straussler Scheinker syndrome,Gerstmann Straussler Scheinker syndrome
Fatal familial insomnia,Fatal familial insomnia
Parapox virus infection,Parapox virus infection
Glucocorticoid deficiency,Glucocorticoid deficiency
Mineralocorticoid deficiency,Mineralocorticoid deficiency
Bandaemia,Bandaemia
Environmental exposure,Environmental exposure
Exposure to violent event,Exposure to violent event
Tuberculosis immunisation,Tuberculosis immunisation
Incomplete course of vaccination,Incomplete course of vaccination
Fructose intolerance,Fructose intolerance
Paraneoplastic neurological syndrome,Paraneoplastic neurological syndrome
Congenital haematological disorder,Congenital haematological disorder
Acquired thalassaemia,Acquired thalassaemia
Craniolacunia,Craniolacunia
Ankle impingement,Ankle impingement
Pseudostrabismus,Pseudostrabismus
Infrapatellar fat pad inflammation,Infrapatellar fat pad inflammation
Pseudohyponatraemia,Pseudohyponatraemia
Fracture pain,Fracture pain
Anti-transglutaminase antibody increased,Anti-transglutaminase antibody increased
Hooded prepuce,Hooded prepuce
Catheter site abscess,Catheter site abscess
Nephroprotective therapy,Nephroprotective therapy
Limbal stem cell deficiency,Limbal stem cell deficiency
Ocular rosacea,Ocular rosacea
Bladder wall calcification,Bladder wall calcification
Orbital decompression,Orbital decompression
Permanent cosmetic dermapigmentation,Permanent cosmetic dermapigmentation
Conjunctival telangiectasia,Conjunctival telangiectasia
Fordyce spots,Fordyce spots
Paediatric autoimmune neuropsychiatric disorders associated with streptococcal infection,Paediatric autoimmune neuropsychiatric disorders associated with streptococcal infection
Stiff person syndrome,Stiff person syndrome
Lipoinjection,Lipoinjection
Meniscus cyst,Meniscus cyst
Chronic graft versus host disease in intestine,Chronic graft versus host disease in intestine
Chronic graft versus host disease in skin,Chronic graft versus host disease in skin
Chronic graft versus host disease in liver,Chronic graft versus host disease in liver
Puncture site swelling,Puncture site swelling
Thyroid cancer recurrent,Thyroid cancer recurrent
Oesophagogastroduodenoscopy abnormal,Oesophagogastroduodenoscopy abnormal
Oesophagogastroduodenoscopy normal,Oesophagogastroduodenoscopy normal
Oesophagogastroscopy normal,Oesophagogastroscopy normal
Oesophagogastroscopy abnormal,Oesophagogastroscopy abnormal
Computerised tomogram head normal,Computerised tomogram head normal
Computerised tomogram head abnormal,Computerised tomogram head abnormal
Computerised tomogram kidney normal,Computerised tomogram kidney normal
Skin wound,Skin wound
Computerised tomogram kidney abnormal,Computerised tomogram kidney abnormal
Myocardial stunning,Myocardial stunning
Breast milk substitute intolerance,Breast milk substitute intolerance
Neonatal insufficient breast milk syndrome,Neonatal insufficient breast milk syndrome
Asymmetric gluteal fold,Asymmetric gluteal fold
Auditory neuropathy spectrum disorder,Auditory neuropathy spectrum disorder
Bladder instillation procedure,Bladder instillation procedure
Cardiac haemolytic anaemia,Cardiac haemolytic anaemia
Red cell fragmentation syndrome,Red cell fragmentation syndrome
Carbohydrate deficient transferrin increased,Carbohydrate deficient transferrin increased
Endothelial protein C receptor polymorphism,Endothelial protein C receptor polymorphism
Janus kinase 2 mutation,Janus kinase 2 mutation
Splenic fibrosis,Splenic fibrosis
Oesophageal fibrosis,Oesophageal fibrosis
Fascial rupture,Fascial rupture
Genital herpes zoster,Genital herpes zoster
Mevalonic aciduria,Mevalonic aciduria
Autoinflammatory disease,Autoinflammatory disease
Mevalonate kinase deficiency,Mevalonate kinase deficiency
Pyogenic sterile arthritis pyoderma gangrenosum and acne syndrome,Pyogenic sterile arthritis pyoderma gangrenosum and acne syndrome
Majeed's syndrome,Majeed's syndrome
Deficiency of the interleukin-1 receptor antagonist,Deficiency of the interleukin-1 receptor antagonist
Renal vascular thrombosis,Renal vascular thrombosis
Neck surgery,Neck surgery
Tooth pulp haemorrhage,Tooth pulp haemorrhage
Familial scaphocephaly syndrome,Familial scaphocephaly syndrome
Enzyme level test,Enzyme level test
Enzyme level increased,Enzyme level increased
Enzyme level decreased,Enzyme level decreased
Foetal placental thrombosis,Foetal placental thrombosis
Cytomegalovirus immunisation,Cytomegalovirus immunisation
Writer's cramp,Writer's cramp
Carcinoid crisis,Carcinoid crisis
ECG electrically inactive area,ECG electrically inactive area
Blount's disease,Blount's disease
Haemorrhagic thyroid cyst,Haemorrhagic thyroid cyst
Amyloid related imaging abnormality-oedema/effusion,Amyloid related imaging abnormality-oedema/effusion
Delayed serologic transfusion reaction,Delayed serologic transfusion reaction
Hypotensive transfusion reaction,Hypotensive transfusion reaction
Post transfusion purpura,Post transfusion purpura
Transfusion-associated dyspnoea,Transfusion-associated dyspnoea
Drug-induced liver injury,Drug-induced liver injury
Egocentrism,Egocentrism
Chronic villitis of unknown etiology,Chronic villitis of unknown etiology
Inborn error of lipid metabolism,Inborn error of lipid metabolism
3-hydroxyacetyl-coenzyme A dehydrogenase deficiency,3-hydroxyacetyl-coenzyme A dehydrogenase deficiency
Oesophageal mucosa erythema,Oesophageal mucosa erythema
Radiation associated haemorrhage,Radiation associated haemorrhage
Infected fistula,Infected fistula
Posterior fossa decompression,Posterior fossa decompression
Varicose veins of abdominal wall,Varicose veins of abdominal wall
Narcotic bowel syndrome,Narcotic bowel syndrome
Duodenal vascular ectasia,Duodenal vascular ectasia
Intracranial lipoma,Intracranial lipoma
Eye colour change,Eye colour change
Drug therapy enhancement,Drug therapy enhancement
X-ray with contrast,X-ray with contrast
Product quality control issue,Product quality control issue
Product process control issue,Product process control issue
Gallbladder varices,Gallbladder varices
Anti factor X antibody negative,Anti factor X antibody negative
Coproporphyrinogen decreased,Coproporphyrinogen decreased
Airway peak pressure decreased,Airway peak pressure decreased
Non-immune heparin associated thrombocytopenia,Non-immune heparin associated thrombocytopenia
Amylase abnormal,Amylase abnormal
Amylase normal,Amylase normal
Uterine necrosis,Uterine necrosis
Anti factor X antibody,Anti factor X antibody
Leukotriene test,Leukotriene test
Biernacki's sign,Biernacki's sign
Benzodiazepine drug level,Benzodiazepine drug level
Unilateral bronchospasm,Unilateral bronchospasm
Coproporphyrinogen,Coproporphyrinogen
Airway peak pressure,Airway peak pressure
Beach chair position,Beach chair position
Multiple use of single-use product,Multiple use of single-use product
Dermal filler injection,Dermal filler injection
Oesophageal mucosal dissection,Oesophageal mucosal dissection
Pupil dilation procedure,Pupil dilation procedure
Painful ejaculation,Painful ejaculation
Trichodysplasia spinulosa,Trichodysplasia spinulosa
Neuromyotonia,Neuromyotonia
Peritumoural oedema,Peritumoural oedema
Hand-foot-genital syndrome,Hand-foot-genital syndrome
Rheumatoid neutrophilic dermatosis,Rheumatoid neutrophilic dermatosis
Pharyngeal exudate,Pharyngeal exudate
Prerenal failure,Prerenal failure
Diet noncompliance,Diet noncompliance
End-tidal CO2,End-tidal CO2
Psychogenic movement disorder,Psychogenic movement disorder
Psychogenic tremor,Psychogenic tremor
Encephalitis autoimmune,Encephalitis autoimmune
Sialogram,Sialogram
Sialogram normal,Sialogram normal
Sialogram abnormal,Sialogram abnormal
Dopaminergic drug therapy,Dopaminergic drug therapy
Substance-induced mood disorder,Substance-induced mood disorder
Substance-induced psychotic disorder,Substance-induced psychotic disorder
Atypical fracture,Atypical fracture
Complement split products increased,Complement split products increased
Asymmetric di-methylarginine increased,Asymmetric di-methylarginine increased
Asymmetric di-methylarginine decreased,Asymmetric di-methylarginine decreased
Asymmetric di-methylarginine abnormal,Asymmetric di-methylarginine abnormal
Asymmetric di-methylarginine normal,Asymmetric di-methylarginine normal
Asymmetric di-methylarginine,Asymmetric di-methylarginine
Mesenteric abscess,Mesenteric abscess
Vital dye staining cornea,Vital dye staining cornea
Red blood cell analysis abnormal,Red blood cell analysis abnormal
Red blood cell analysis normal,Red blood cell analysis normal
Cell marker decreased,Cell marker decreased
Action tremor,Action tremor
Oesophageal motility disorder,Oesophageal motility disorder
Incentive spirometry,Incentive spirometry
Antipsychotic drug level decreased,Antipsychotic drug level decreased
Amoeba test,Amoeba test
Amoeba test negative,Amoeba test negative
Giardia test negative,Giardia test negative
Giardia test positive,Giardia test positive
Amoeba test positive,Amoeba test positive
Malignant neoplasm of pleura metastatic,Malignant neoplasm of pleura metastatic
Giardia test,Giardia test
Urine iodine increased,Urine iodine increased
Dermal absorption impaired,Dermal absorption impaired
Clostridium difficile immunisation,Clostridium difficile immunisation
Dropped head syndrome,Dropped head syndrome
Delivery outside health facility,Delivery outside health facility
Malignant blue naevus,Malignant blue naevus
Desmoplastic melanoma,Desmoplastic melanoma
Hypocalcaemic seizure,Hypocalcaemic seizure
Sirenomelia,Sirenomelia
Periureteral collection,Periureteral collection
Glassy eyes,Glassy eyes
Tilt table test normal,Tilt table test normal
Tilt table test positive,Tilt table test positive
Fluorescent in situ hybridisation positive,Fluorescent in situ hybridisation positive
Fluorescent in situ hybridisation negative,Fluorescent in situ hybridisation negative
Vasoactive intestinal polypeptide test normal,Vasoactive intestinal polypeptide test normal
Glucosylceramide normal,Glucosylceramide normal
Glucosylceramide increased,Glucosylceramide increased
Glucosylceramide decreased,Glucosylceramide decreased
Glucosylceramide abnormal,Glucosylceramide abnormal
Vasoactive intestinal polypeptide test abnormal,Vasoactive intestinal polypeptide test abnormal
Maximum heart rate increased,Maximum heart rate increased
Maximum heart rate decreased,Maximum heart rate decreased
Gestational age test normal,Gestational age test normal
Gestational age test abnormal,Gestational age test abnormal
Faecal calprotectin normal,Faecal calprotectin normal
Faecal calprotectin abnormal,Faecal calprotectin abnormal
Faecal calprotectin increased,Faecal calprotectin increased
Faecal calprotectin decreased,Faecal calprotectin decreased
Hydrogen breath test normal,Hydrogen breath test normal
Hydrogen breath test abnormal,Hydrogen breath test abnormal
Nasogastric output normal,Nasogastric output normal
Nasogastric output abnormal,Nasogastric output abnormal
Peritoneal effluent normal,Peritoneal effluent normal
Peritoneal equilibration test normal,Peritoneal equilibration test normal
Peritoneal equilibration test abnormal,Peritoneal equilibration test abnormal
Prekallikrein test normal,Prekallikrein test normal
Prekallikrein test abnormal,Prekallikrein test abnormal
Prekallikrein increased,Prekallikrein increased
Prekallikrein decreased,Prekallikrein decreased
Vasoactive intestinal polypeptide decreased,Vasoactive intestinal polypeptide decreased
Vasoactive intestinal polypeptide increased,Vasoactive intestinal polypeptide increased
Anti-IA2 antibody negative,Anti-IA2 antibody negative
Anti-IA2 antibody positive,Anti-IA2 antibody positive
Anti-NMDA antibody negative,Anti-NMDA antibody negative
Anti-NMDA antibody positive,Anti-NMDA antibody positive
Anti-VGCC antibody negative,Anti-VGCC antibody negative
Anti-VGCC antibody positive,Anti-VGCC antibody positive
Anti-VGKC antibody negative,Anti-VGKC antibody negative
Anti-VGKC antibody positive,Anti-VGKC antibody positive
Anti-actin antibody negative,Anti-actin antibody negative
Anti-actin antibody positive,Anti-actin antibody positive
Anti-aquaporin-4 antibody negative,Anti-aquaporin-4 antibody negative
Anti-aquaporin-4 antibody positive,Anti-aquaporin-4 antibody positive
Anti-basal ganglia antibody negative,Anti-basal ganglia antibody negative
Anti-basal ganglia antibody positive,Anti-basal ganglia antibody positive
Anti-epithelial antibody negative,Anti-epithelial antibody negative
Anti-epithelial antibody positive,Anti-epithelial antibody positive
Anti-exosome complex antibody negative,Anti-exosome complex antibody negative
Anti-exosome complex antibody positive,Anti-exosome complex antibody positive
Anti-ganglioside antibody negative,Anti-ganglioside antibody negative
Anti-ganglioside antibody positive,Anti-ganglioside antibody positive
Anti-glomerular basement membrane antibody negative,Anti-glomerular basement membrane antibody negative
Anti-glycyl-tRNA synthetase antibody negative,Anti-glycyl-tRNA synthetase antibody negative
Anti-glycyl-tRNA synthetase antibody positive,Anti-glycyl-tRNA synthetase antibody positive
Anti-islet cell antibody negative,Anti-islet cell antibody negative
Anti-muscle specific kinase antibody negative,Anti-muscle specific kinase antibody negative
Anti-muscle specific kinase antibody positive,Anti-muscle specific kinase antibody positive
Anti-neuronal antibody negative,Anti-neuronal antibody negative
Anti-neuronal antibody positive,Anti-neuronal antibody positive
Anti-sperm antibody negative,Anti-sperm antibody negative
Anti-transglutaminase antibody negative,Anti-transglutaminase antibody negative
Anti-vimentin antibody negative,Anti-vimentin antibody negative
Anti-vimentin antibody positive,Anti-vimentin antibody positive
Anti-zinc transporter 8 antibody negative,Anti-zinc transporter 8 antibody negative
Anti-zinc transporter 8 antibody positive,Anti-zinc transporter 8 antibody positive
Antimyocardial antibody,Antimyocardial antibody
Antimyocardial antibody negative,Antimyocardial antibody negative
Antiribosomal P antibody,Antiribosomal P antibody
Thromboplastin antibody negative,Thromboplastin antibody negative
Thromboplastin antibody positive,Thromboplastin antibody positive
Hereditary palmoplantar keratoderma,Hereditary palmoplantar keratoderma
Peripheral artery restenosis,Peripheral artery restenosis
Carotid artery restenosis,Carotid artery restenosis
Carotid revascularisation,Carotid revascularisation
Peripheral endarterectomy,Peripheral endarterectomy
Peripheral artery bypass,Peripheral artery bypass
Peripheral artery stent insertion,Peripheral artery stent insertion
Peripheral artery stenosis,Peripheral artery stenosis
Peripheral artery thrombosis,Peripheral artery thrombosis
Contraceptive implant,Contraceptive implant
Haemangioma of bone,Haemangioma of bone
Periodontal inflammation,Periodontal inflammation
Kleihauer-Betke test negative,Kleihauer-Betke test negative
Kleihauer-Betke test positive,Kleihauer-Betke test positive
Chronic actinic dermatitis,Chronic actinic dermatitis
Granulomatosis with polyangiitis,Granulomatosis with polyangiitis
Gastrointestinal submucosal tumour,Gastrointestinal submucosal tumour
Duodenal papillitis,Duodenal papillitis
Rectal injury,Rectal injury
Pseudomenstruation neonatal,Pseudomenstruation neonatal
Viral parotitis,Viral parotitis
Platonychia,Platonychia
Paranasal sinus necrosis,Paranasal sinus necrosis
Umbilical discharge,Umbilical discharge
Subchorionic haematoma,Subchorionic haematoma
Hypercapnic coma,Hypercapnic coma
Limy bile syndrome,Limy bile syndrome
Amyloid related imaging abnormalities,Amyloid related imaging abnormalities
Amyloid related imaging abnormality-microhaemorrhages and haemosiderin deposits,Amyloid related imaging abnormality-microhaemorrhages and haemosiderin deposits
Neonatal behavioural syndrome,Neonatal behavioural syndrome
Inadequate aseptic technique in use of product,Inadequate aseptic technique in use of product
Adenine phosphoribosyl transferase deficiency,Adenine phosphoribosyl transferase deficiency
Skeletal dysplasia,Skeletal dysplasia
Electrocoagulation,Electrocoagulation
Thyroid B-cell lymphoma,Thyroid B-cell lymphoma
Orthopaedic examination,Orthopaedic examination
Orthopaedic examination abnormal,Orthopaedic examination abnormal
Orthopaedic examination normal,Orthopaedic examination normal
Orthopaedic procedure,Orthopaedic procedure
Fulminant type 1 diabetes mellitus,Fulminant type 1 diabetes mellitus
Intrahepatic portal hepatic venous fistula,Intrahepatic portal hepatic venous fistula
Psychogenic respiratory distress,Psychogenic respiratory distress
Acquired syringomyelia,Acquired syringomyelia
Excessive dietary supplement intake,Excessive dietary supplement intake
Biopsy pineal gland,Biopsy pineal gland
Application site telangiectasia,Application site telangiectasia
Notalgia paraesthetica,Notalgia paraesthetica
Product package associated injury,Product package associated injury
Hand-eye coordination impaired,Hand-eye coordination impaired
Postoperative respiratory failure,Postoperative respiratory failure
Puerperal infection,Puerperal infection
Long-chain acyl-coenzyme A dehydrogenase deficiency,Long-chain acyl-coenzyme A dehydrogenase deficiency
Medium-chain acyl-coenzyme A dehydrogenase deficiency,Medium-chain acyl-coenzyme A dehydrogenase deficiency
Short-chain acyl-coenzyme A dehydrogenase deficiency,Short-chain acyl-coenzyme A dehydrogenase deficiency
Very long-chain acyl-coenzyme A dehydrogenase deficiency,Very long-chain acyl-coenzyme A dehydrogenase deficiency
Type 3 diabetes mellitus,Type 3 diabetes mellitus
Chemical submission,Chemical submission
Victim of chemical submission,Victim of chemical submission
Tooth demineralisation,Tooth demineralisation
White sponge naevus,White sponge naevus
Fibroblast growth factor 23 increased,Fibroblast growth factor 23 increased
Fibroblast growth factor 23,Fibroblast growth factor 23
Refractory cytopenia with unilineage dysplasia,Refractory cytopenia with unilineage dysplasia
Microvascular coronary artery disease,Microvascular coronary artery disease
Uveitic glaucoma,Uveitic glaucoma
Transient neonatal pustular melanosis,Transient neonatal pustular melanosis
Peripartum haemorrhage,Peripartum haemorrhage
Application site haemorrhage,Application site haemorrhage
Pelvic cyst,Pelvic cyst
Lid sulcus deepened,Lid sulcus deepened
Amastia,Amastia
Lacrimal punctum enlarged,Lacrimal punctum enlarged
Eyelid thickening,Eyelid thickening
Medication overuse headache,Medication overuse headache
Chronic pigmented purpura,Chronic pigmented purpura
Extrarenal pelvis,Extrarenal pelvis
Delayed dark adaptation,Delayed dark adaptation
Urine zinc,Urine zinc
White matter lesion,White matter lesion
Aluminium overload,Aluminium overload
Rheumatic disorder,Rheumatic disorder
Late onset hypogonadism syndrome,Late onset hypogonadism syndrome
Alcohol septal ablation,Alcohol septal ablation
Lacrimal structural disorder,Lacrimal structural disorder
Hepatitis viral test negative,Hepatitis viral test negative
Hepatitis viral test positive,Hepatitis viral test positive
Trichotemnomania,Trichotemnomania
Transmission of an infectious agent via product,Transmission of an infectious agent via product
Suspected transmission of an infectious agent via product,Suspected transmission of an infectious agent via product
Chronic spontaneous urticaria,Chronic spontaneous urticaria
Pharyngo-oesophageal diverticulum,Pharyngo-oesophageal diverticulum
Tracheo-oesophageal puncture,Tracheo-oesophageal puncture
Pancreatic steatosis,Pancreatic steatosis
False lumen dilatation of aortic dissection,False lumen dilatation of aortic dissection
Iliac artery rupture,Iliac artery rupture
Humidity intolerance,Humidity intolerance
Tonsil cancer metastatic,Tonsil cancer metastatic
Urethral melanoma metastatic,Urethral melanoma metastatic
Drain placement,Drain placement
Immune reconstitution inflammatory syndrome associated Kaposi's sarcoma,Immune reconstitution inflammatory syndrome associated Kaposi's sarcoma
Immune reconstitution inflammatory syndrome associated tuberculosis,Immune reconstitution inflammatory syndrome associated tuberculosis
CD4 lymphocyte percentage decreased,CD4 lymphocyte percentage decreased
Eventration repair,Eventration repair
Central nervous system fungal infection,Central nervous system fungal infection
Chemotherapy toxicity attenuation,Chemotherapy toxicity attenuation
Traumatic ear amputation,Traumatic ear amputation
Intratumoural aneurysm,Intratumoural aneurysm
Arterial wall hypertrophy,Arterial wall hypertrophy
Vascular wall hypertrophy,Vascular wall hypertrophy
Pregnancy of unknown location,Pregnancy of unknown location
Breast cyst rupture,Breast cyst rupture
Breast angiosarcoma,Breast angiosarcoma
Breast angiosarcoma metastatic,Breast angiosarcoma metastatic
Thyroid size decreased,Thyroid size decreased
Tumour fistulisation,Tumour fistulisation
Pharyngeal fistula repair,Pharyngeal fistula repair
Intra-abdominal pressure monitoring,Intra-abdominal pressure monitoring
Bursal fluid accumulation,Bursal fluid accumulation
Severe invasive streptococcal infection,Severe invasive streptococcal infection
Non-tobacco user,Non-tobacco user
Female sex hormone level,Female sex hormone level
Sensitivity to weather change,Sensitivity to weather change
Post-injection delirium sedation syndrome,Post-injection delirium sedation syndrome
Peritoneal mesothelial hyperplasia,Peritoneal mesothelial hyperplasia
Mononuclear cell count,Mononuclear cell count
Mononuclear cell percentage,Mononuclear cell percentage
Mononuclear cell count abnormal,Mononuclear cell count abnormal
Macrophage count,Macrophage count
Human metapneumovirus test,Human metapneumovirus test
Human metapneumovirus test positive,Human metapneumovirus test positive
Interferon gamma release assay positive,Interferon gamma release assay positive
Device allergy,Device allergy
Lymphatic mapping,Lymphatic mapping
Arteriogram liver,Arteriogram liver
Eccrine squamous syringometaplasia,Eccrine squamous syringometaplasia
Intestinal fibrosis,Intestinal fibrosis
Device use error,Device use error
Modified Rankin score increased,Modified Rankin score increased
Modified Rankin score decreased,Modified Rankin score decreased
Brachydactyly,Brachydactyly
Anti-interferon antibody,Anti-interferon antibody
Anti-interferon antibody negative,Anti-interferon antibody negative
Anti-interferon antibody positive,Anti-interferon antibody positive
Muscle tone disorder,Muscle tone disorder
Intestinal smooth muscle hypertrophy,Intestinal smooth muscle hypertrophy
Skin angiosarcoma,Skin angiosarcoma
Vitreous cyst,Vitreous cyst
Pulmonary endarterectomy,Pulmonary endarterectomy
Contrast encephalopathy,Contrast encephalopathy
Yersinia sepsis,Yersinia sepsis
Prostatic fibrosis,Prostatic fibrosis
Acute painful neuropathy of rapid glycaemic control,Acute painful neuropathy of rapid glycaemic control
Benign cartilage neoplasm,Benign cartilage neoplasm
Diagnostic aspiration,Diagnostic aspiration
Maxillary sinus pseudocyst,Maxillary sinus pseudocyst
Mucolipidosis type I,Mucolipidosis type I
Mucolipidosis type II,Mucolipidosis type II
Mucolipidosis type III,Mucolipidosis type III
Mucolipidosis type IV,Mucolipidosis type IV
Unintentional medical device removal,Unintentional medical device removal
Corticosteroid binding globulin test,Corticosteroid binding globulin test
Corticosteroid binding globulin normal,Corticosteroid binding globulin normal
Corticosteroid binding globulin abnormal,Corticosteroid binding globulin abnormal
Corticosteroid binding globulin increased,Corticosteroid binding globulin increased
Corticosteroid binding globulin decreased,Corticosteroid binding globulin decreased
Mucolipidosis,Mucolipidosis
Olfactory nerve agenesis,Olfactory nerve agenesis
Cerebellar dysplasia,Cerebellar dysplasia
Adnexal torsion,Adnexal torsion
Fallopian tube necrosis,Fallopian tube necrosis
Accidental device ingestion,Accidental device ingestion
Accidental device ingestion by a child,Accidental device ingestion by a child
Vital signs measurement,Vital signs measurement
Term birth,Term birth
Nutritional supplementation,Nutritional supplementation
Protein deficiency,Protein deficiency
Birdshot chorioretinopathy,Birdshot chorioretinopathy
Chest wall tumour,Chest wall tumour
Organic acid analysis abnormal,Organic acid analysis abnormal
Organic acid analysis,Organic acid analysis
Gastrostomy tube removal,Gastrostomy tube removal
Neuroendocrine cell hyperplasia of infancy,Neuroendocrine cell hyperplasia of infancy
Meniscus injury,Meniscus injury
Congenital skin dimples,Congenital skin dimples
Urinary bladder toxicity,Urinary bladder toxicity
Bronchoplegia,Bronchoplegia
Soft tissue flap operation,Soft tissue flap operation
Progressive facial hemiatrophy,Progressive facial hemiatrophy
Septic vasculitis,Septic vasculitis
Congenital central diabetes insipidus,Congenital central diabetes insipidus
Chronic autoimmune glomerulonephritis,Chronic autoimmune glomerulonephritis
Preterm premature rupture of membranes,Preterm premature rupture of membranes
Prolonged rupture of membranes,Prolonged rupture of membranes
Surfactant protein,Surfactant protein
Antithyroid arthritis syndrome,Antithyroid arthritis syndrome
Burkholderia gladioli infection,Burkholderia gladioli infection
Burkholderia infection,Burkholderia infection
Bloom syndrome,Bloom syndrome
Psychotic symptom rating scale,Psychotic symptom rating scale
Remnant-like lipoprotein particles increased,Remnant-like lipoprotein particles increased
Remnant-like lipoprotein particles,Remnant-like lipoprotein particles
Posterior lens capsulotomy,Posterior lens capsulotomy
Lens capsulotomy,Lens capsulotomy
Post procedural persistent drain fluid,Post procedural persistent drain fluid
Extragonadal primary germ cell tumour,Extragonadal primary germ cell tumour
Extragonadal primary germ cell tumour mixed,Extragonadal primary germ cell tumour mixed
Extragonadal primary seminoma (pure),Extragonadal primary seminoma (pure)
Malignant neoplasm of unknown primary site,Malignant neoplasm of unknown primary site
Biphasic mesothelioma,Biphasic mesothelioma
Desmoplastic mesothelioma,Desmoplastic mesothelioma
